url,team,contingent,sport,FinalPosition
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=77c5b016-1c66-4667-a321-7a0dd5e9b9f4&SetLanguage=en-CA,BC,British Columbia,Speed Skating Short Track - Team Relay Male,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=e36d5941-d283-4130-af46-b33cec6b3f0b&SetLanguage=en-CA,BC,British Columbia,Wheelchair Basketball Mix,6
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=50ee1248-64a8-47d9-9a12-7dda672a2b3b&SetLanguage=en-CA,BC,British Columbia,Archery Recurve - Team Mix,6
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=fb8f300d-f590-4681-bfce-b91b71b5e8aa&SetLanguage=en-CA,BC,British Columbia,Squash Team Competition Female,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=782d4d16-28ff-43d2-aab0-c35cb3817dde&SetLanguage=en-CA,BC,British Columbia,Curling Female,10
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=bcefb754-9a74-4b81-a933-c7c62dec06c4&SetLanguage=en-CA,BC,British Columbia,Table Tennis Team Female,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5ebc9617-078e-4fe1-be25-c55672acf724&SetLanguage=en-CA,BC,British Columbia,Hockey Female,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=f0f5ef71-0f6b-4b7d-bbb0-c54e1ad9d816&SetLanguage=en-CA,BC,British Columbia,Ringette Female,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5ead5037-d7f3-4bc5-936c-cadcf7248236&SetLanguage=en-CA,BC,British Columbia,Table Tennis Doubles Female,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=ff70e03c-795c-4806-b6ec-e2d07ec288a3&SetLanguage=en-CA,BC,British Columbia,Cross Country Skiing Relay Mix,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=968eb15c-84d2-4a48-818d-76dae1b8d597&SetLanguage=en-CA,BC,British Columbia,Hockey Male,7
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=6772caf1-c0e8-4ae5-94fa-d0ce37112261&SetLanguage=en-CA,BC,British Columbia,Judo Team Competition Male,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=9142b02c-b638-4fc3-b1c7-e5d548117fd5&SetLanguage=en-CA,BC,British Columbia,Squash Team Competition Male,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=81c1fd82-4d9b-4eef-8eef-fa719716836c&SetLanguage=en-CA,BC,British Columbia,Gymnastics Trampoline - Synchro Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=1a153d3f-8317-4654-98fa-45276cb612dd&SetLanguage=en-CA,Bélanger/Kremer,Yukon,Badminton Doubles Female,17
